index,bits_int,bits,I,Q,symbol
0,0,00000000,-15,-15,-15-15j
1,1,00000001,-15,-13,-15-13j
2,2,00000010,-15,-9,-15-9j
3,3,00000011,-15,-11,-15-11j
4,4,00000100,-15,-1,-15-1j
5,5,00000101,-15,-3,-15-3j
6,6,00000110,-15,-7,-15-7j
7,7,00000111,-15,-5,-15-5j
8,8,00001000,-15,15,-15+15j
9,9,00001001,-15,13,-15+13j
10,10,00001010,-15,9,-15+9j
11,11,00001011,-15,11,-15+11j
12,12,00001100,-15,1,-15+1j
13,13,00001101,-15,3,-15+3j
14,14,00001110,-15,7,-15+7j
15,15,00001111,-15,5,-15+5j
16,16,00010000,-13,-15,-13-15j
17,17,00010001,-13,-13,-13-13j
18,18,00010010,-13,-9,-13-9j
19,19,00010011,-13,-11,-13-11j
20,20,00010100,-13,-1,-13-1j
21,21,00010101,-13,-3,-13-3j
22,22,00010110,-13,-7,-13-7j
23,23,00010111,-13,-5,-13-5j
24,24,00011000,-13,15,-13+15j
25,25,00011001,-13,13,-13+13j
26,26,00011010,-13,9,-13+9j
27,27,00011011,-13,11,-13+11j
28,28,00011100,-13,1,-13+1j
29,29,00011101,-13,3,-13+3j
30,30,00011110,-13,7,-13+7j
31,31,00011111,-13,5,-13+5j
32,32,00100000,-9,-15,-9-15j
33,33,00100001,-9,-13,-9-13j
34,34,00100010,-9,-9,-9-9j
35,35,00100011,-9,-11,-9-11j
36,36,00100100,-9,-1,-9-1j
37,37,00100101,-9,-3,-9-3j
38,38,00100110,-9,-7,-9-7j
39,39,00100111,-9,-5,-9-5j
40,40,00101000,-9,15,-9+15j
41,41,00101001,-9,13,-9+13j
42,42,00101010,-9,9,-9+9j
43,43,00101011,-9,11,-9+11j
44,44,00101100,-9,1,-9+1j
45,45,00101101,-9,3,-9+3j
46,46,00101110,-9,7,-9+7j
47,47,00101111,-9,5,-9+5j
48,48,00110000,-11,-15,-11-15j
49,49,00110001,-11,-13,-11-13j
50,50,00110010,-11,-9,-11-9j
51,51,00110011,-11,-11,-11-11j
52,52,00110100,-11,-1,-11-1j
53,53,00110101,-11,-3,-11-3j
54,54,00110110,-11,-7,-11-7j
55,55,00110111,-11,-5,-11-5j
56,56,00111000,-11,15,-11+15j
57,57,00111001,-11,13,-11+13j
58,58,00111010,-11,9,-11+9j
59,59,00111011,-11,11,-11+11j
60,60,00111100,-11,1,-11+1j
61,61,00111101,-11,3,-11+3j
62,62,00111110,-11,7,-11+7j
63,63,00111111,-11,5,-11+5j
64,64,01000000,-1,-15,-1-15j
65,65,01000001,-1,-13,-1-13j
66,66,01000010,-1,-9,-1-9j
67,67,01000011,-1,-11,-1-11j
68,68,01000100,-1,-1,-1-1j
69,69,01000101,-1,-3,-1-3j
70,70,01000110,-1,-7,-1-7j
71,71,01000111,-1,-5,-1-5j
72,72,01001000,-1,15,-1+15j
73,73,01001001,-1,13,-1+13j
74,74,01001010,-1,9,-1+9j
75,75,01001011,-1,11,-1+11j
76,76,01001100,-1,1,-1+1j
77,77,01001101,-1,3,-1+3j
78,78,01001110,-1,7,-1+7j
79,79,01001111,-1,5,-1+5j
80,80,01010000,-3,-15,-3-15j
81,81,01010001,-3,-13,-3-13j
82,82,01010010,-3,-9,-3-9j
83,83,01010011,-3,-11,-3-11j
84,84,01010100,-3,-1,-3-1j
85,85,01010101,-3,-3,-3-3j
86,86,01010110,-3,-7,-3-7j
87,87,01010111,-3,-5,-3-5j
88,88,01011000,-3,15,-3+15j
89,89,01011001,-3,13,-3+13j
90,90,01011010,-3,9,-3+9j
91,91,01011011,-3,11,-3+11j
92,92,01011100,-3,1,-3+1j
93,93,01011101,-3,3,-3+3j
94,94,01011110,-3,7,-3+7j
95,95,01011111,-3,5,-3+5j
96,96,01100000,-7,-15,-7-15j
97,97,01100001,-7,-13,-7-13j
98,98,01100010,-7,-9,-7-9j
99,99,01100011,-7,-11,-7-11j
100,100,01100100,-7,-1,-7-1j
101,101,01100101,-7,-3,-7-3j
102,102,01100110,-7,-7,-7-7j
103,103,01100111,-7,-5,-7-5j
104,104,01101000,-7,15,-7+15j
105,105,01101001,-7,13,-7+13j
106,106,01101010,-7,9,-7+9j
107,107,01101011,-7,11,-7+11j
108,108,01101100,-7,1,-7+1j
109,109,01101101,-7,3,-7+3j
110,110,01101110,-7,7,-7+7j
111,111,01101111,-7,5,-7+5j
112,112,01110000,-5,-15,-5-15j
113,113,01110001,-5,-13,-5-13j
114,114,01110010,-5,-9,-5-9j
115,115,01110011,-5,-11,-5-11j
116,116,01110100,-5,-1,-5-1j
117,117,01110101,-5,-3,-5-3j
118,118,01110110,-5,-7,-5-7j
119,119,01110111,-5,-5,-5-5j
120,120,01111000,-5,15,-5+15j
121,121,01111001,-5,13,-5+13j
122,122,01111010,-5,9,-5+9j
123,123,01111011,-5,11,-5+11j
124,124,01111100,-5,1,-5+1j
125,125,01111101,-5,3,-5+3j
126,126,01111110,-5,7,-5+7j
127,127,01111111,-5,5,-5+5j
128,128,10000000,15,-15,15-15j
129,129,10000001,15,-13,15-13j
130,130,10000010,15,-9,15-9j
131,131,10000011,15,-11,15-11j
132,132,10000100,15,-1,15-1j
133,133,10000101,15,-3,15-3j
134,134,10000110,15,-7,15-7j
135,135,10000111,15,-5,15-5j
136,136,10001000,15,15,15+15j
137,137,10001001,15,13,15+13j
138,138,10001010,15,9,15+9j
139,139,10001011,15,11,15+11j
140,140,10001100,15,1,15+1j
141,141,10001101,15,3,15+3j
142,142,10001110,15,7,15+7j
143,143,10001111,15,5,15+5j
144,144,10010000,13,-15,13-15j
145,145,10010001,13,-13,13-13j
146,146,10010010,13,-9,13-9j
147,147,10010011,13,-11,13-11j
148,148,10010100,13,-1,13-1j
149,149,10010101,13,-3,13-3j
150,150,10010110,13,-7,13-7j
151,151,10010111,13,-5,13-5j
152,152,10011000,13,15,13+15j
153,153,10011001,13,13,13+13j
154,154,10011010,13,9,13+9j
155,155,10011011,13,11,13+11j
156,156,10011100,13,1,13+1j
157,157,10011101,13,3,13+3j
158,158,10011110,13,7,13+7j
159,159,10011111,13,5,13+5j
160,160,10100000,9,-15,9-15j
161,161,10100001,9,-13,9-13j
162,162,10100010,9,-9,9-9j
163,163,10100011,9,-11,9-11j
164,164,10100100,9,-1,9-1j
165,165,10100101,9,-3,9-3j
166,166,10100110,9,-7,9-7j
167,167,10100111,9,-5,9-5j
168,168,10101000,9,15,9+15j
169,169,10101001,9,13,9+13j
170,170,10101010,9,9,9+9j
171,171,10101011,9,11,9+11j
172,172,10101100,9,1,9+1j
173,173,10101101,9,3,9+3j
174,174,10101110,9,7,9+7j
175,175,10101111,9,5,9+5j
176,176,10110000,11,-15,11-15j
177,177,10110001,11,-13,11-13j
178,178,10110010,11,-9,11-9j
179,179,10110011,11,-11,11-11j
180,180,10110100,11,-1,11-1j
181,181,10110101,11,-3,11-3j
182,182,10110110,11,-7,11-7j
183,183,10110111,11,-5,11-5j
184,184,10111000,11,15,11+15j
185,185,10111001,11,13,11+13j
186,186,10111010,11,9,11+9j
187,187,10111011,11,11,11+11j
188,188,10111100,11,1,11+1j
189,189,10111101,11,3,11+3j
190,190,10111110,11,7,11+7j
191,191,10111111,11,5,11+5j
192,192,11000000,1,-15,1-15j
193,193,11000001,1,-13,1-13j
194,194,11000010,1,-9,1-9j
195,195,11000011,1,-11,1-11j
196,196,11000100,1,-1,1-1j
197,197,11000101,1,-3,1-3j
198,198,11000110,1,-7,1-7j
199,199,11000111,1,-5,1-5j
200,200,11001000,1,15,1+15j
201,201,11001001,1,13,1+13j
202,202,11001010,1,9,1+9j
203,203,11001011,1,11,1+11j
204,204,11001100,1,1,1+1j
205,205,11001101,1,3,1+3j
206,206,11001110,1,7,1+7j
207,207,11001111,1,5,1+5j
208,208,11010000,3,-15,3-15j
209,209,11010001,3,-13,3-13j
210,210,11010010,3,-9,3-9j
211,211,11010011,3,-11,3-11j
212,212,11010100,3,-1,3-1j
213,213,11010101,3,-3,3-3j
214,214,11010110,3,-7,3-7j
215,215,11010111,3,-5,3-5j
216,216,11011000,3,15,3+15j
217,217,11011001,3,13,3+13j
218,218,11011010,3,9,3+9j
219,219,11011011,3,11,3+11j
220,220,11011100,3,1,3+1j
221,221,11011101,3,3,3+3j
222,222,11011110,3,7,3+7j
223,223,11011111,3,5,3+5j
224,224,11100000,7,-15,7-15j
225,225,11100001,7,-13,7-13j
226,226,11100010,7,-9,7-9j
227,227,11100011,7,-11,7-11j
228,228,11100100,7,-1,7-1j
229,229,11100101,7,-3,7-3j
230,230,11100110,7,-7,7-7j
231,231,11100111,7,-5,7-5j
232,232,11101000,7,15,7+15j
233,233,11101001,7,13,7+13j
234,234,11101010,7,9,7+9j
235,235,11101011,7,11,7+11j
236,236,11101100,7,1,7+1j
237,237,11101101,7,3,7+3j
238,238,11101110,7,7,7+7j
239,239,11101111,7,5,7+5j
240,240,11110000,5,-15,5-15j
241,241,11110001,5,-13,5-13j
242,242,11110010,5,-9,5-9j
243,243,11110011,5,-11,5-11j
244,244,11110100,5,-1,5-1j
245,245,11110101,5,-3,5-3j
246,246,11110110,5,-7,5-7j
247,247,11110111,5,-5,5-5j
248,248,11111000,5,15,5+15j
249,249,11111001,5,13,5+13j
250,250,11111010,5,9,5+9j
251,251,11111011,5,11,5+11j
252,252,11111100,5,1,5+1j
253,253,11111101,5,3,5+3j
254,254,11111110,5,7,5+7j
255,255,11111111,5,5,5+5j
